ratio_edge_cases.log created successfully
============================================

ASIANPAINT Mar 2022 | ROCE Difference=19.41% | Category: Formula Difference
ASIANPAINT Mar 2023 | ROE Difference=5.22% | Category: Version Difference
ASIANPAINT Mar 2023 | ROCE Difference=15.52% | Category: Formula Difference
ASIANPAINT Mar 2023 | ROE Difference=5.22% | Category: Version Difference
ASIANPAINT Mar 2023 | ROCE Difference=15.52% | Category: Formula Difference
ASIANPAINT Mar 2024 | ROCE Difference=12.07% | Category: Formula Difference
ASIANPAINT Mar 2024 | ROCE Difference=12.07% | Category: Formula Difference
BAJAJ-AUTO Mar 2013 | ROE Difference=12.35% | Category: Version Difference
BAJAJ-AUTO Mar 2013 | ROCE Difference=5.35% | Category: Formula Difference
BAJAJ-AUTO Mar 2013 | ROE Difference=12.35% | Category: Version Difference
BAJAJ-AUTO Mar 2013 | ROCE Difference=5.35% | Category: Formula Difference
BAJAJ-AUTO Mar 2014 | ROE Difference=6.74% | Category: Version Difference
BAJAJ-AUTO Mar 2014 | ROE Difference=6.74% | Category: Version Difference
BAJAJ-AUTO Mar 2015 | ROCE Difference=6.23% | Category: Formula Difference
BAJAJ-AUTO Mar 2015 | ROCE Difference=6.23% | Category: Formula Difference
BAJAJ-AUTO Mar 2017 | ROCE Difference=10.66% | Category: Formula Difference
BAJAJ-AUTO Mar 2017 | ROCE Difference=10.66% | Category: Formula Difference
BAJAJ-AUTO Mar 2018 | ROE Difference=5.84% | Category: Version Difference
BAJAJ-AUTO Mar 2018 | ROCE Difference=12.84% | Category: Formula Difference
BAJAJ-AUTO Mar 2018 | ROE Difference=5.84% | Category: Version Difference
BAJAJ-AUTO Mar 2018 | ROCE Difference=12.84% | Category: Formula Difference
BAJAJ-AUTO Mar 2019 | ROE Difference=5.29% | Category: Version Difference
BAJAJ-AUTO Mar 2019 | ROCE Difference=12.29% | Category: Formula Difference
BAJAJ-AUTO Mar 2019 | ROE Difference=5.29% | Category: Version Difference
BAJAJ-AUTO Mar 2019 | ROCE Difference=12.29% | Category: Formula Difference
BAJAJ-AUTO Mar 2020 | ROCE Difference=9.44% | Category: Formula Difference
BAJAJ-AUTO Mar 2020 | ROCE Difference=9.44% | Category: Formula Difference
BAJAJ-AUTO Mar 2021 | ROE Difference=8.69% | Category: Version Difference
BAJAJ-AUTO Mar 2021 | ROCE Difference=15.69% | Category: Formula Difference
BAJAJ-AUTO Mar 2021 | ROE Difference=8.69% | Category: Version Difference
BAJAJ-AUTO Mar 2021 | ROCE Difference=15.69% | Category: Formula Difference
BAJAJ-AUTO Mar 2022 | ROE Difference=5.85% | Category: Version Difference
BAJAJ-AUTO Mar 2022 | ROCE Difference=12.85% | Category: Formula Difference
BAJAJ-AUTO Mar 2022 | ROE Difference=5.85% | Category: Version Difference
BAJAJ-AUTO Mar 2022 | ROCE Difference=12.85% | Category: Formula Difference
BAJAJ-AUTO Mar 2023 | ROE Difference=5.86% | Category: Version Difference
BAJAJ-AUTO Mar 2023 | ROCE Difference=12.86% | Category: Formula Difference
BAJAJ-AUTO Mar 2023 | ROE Difference=5.86% | Category: Version Difference
BAJAJ-AUTO Mar 2023 | ROCE Difference=12.86% | Category: Formula Difference
BAJAJ-AUTO Mar 2024 | ROCE Difference=6.89% | Category: Formula Difference
BAJAJ-AUTO Mar 2024 | ROCE Difference=6.89% | Category: Formula Difference
AXISBANK Mar 2013 | ROCE Difference=8.56% | Category: Formula Difference
AXISBANK Mar 2014 | ROCE Difference=9.13% | Category: Formula Difference
AXISBANK Mar 2015 | ROCE Difference=9.31% | Category: Formula Difference
AXISBANK Mar 2016 | ROCE Difference=8.30% | Category: Formula Difference
AXISBANK Mar 2017 | ROE Difference=11.87% | Category: Version Difference
AXISBANK Mar 2018 | ROE Difference=17.97% | Category: Version Difference
AXISBANK Mar 2018 | ROCE Difference=6.63% | Category: Formula Difference
AXISBANK Mar 2019 | ROE Difference=11.50% | Category: Version Difference
AXISBANK Mar 2020 | ROE Difference=16.52% | Category: Version Difference
AXISBANK Mar 2020 | ROCE Difference=5.18% | Category: Formula Difference
AXISBANK Mar 2021 | ROE Difference=12.04% | Category: Version Difference
AXISBANK Mar 2022 | ROE Difference=7.39% | Category: Version Difference
AXISBANK Mar 2023 | ROE Difference=11.02% | Category: Version Difference
AXISBANK Mar 2024 | ROCE Difference=8.77% | Category: Formula Difference
BAJAJFINSV Mar 2013 | ROE Difference=16.66% | Category: Version Difference
BAJAJFINSV Mar 2013 | ROCE Difference=7.24% | Category: Formula Difference
BAJAJFINSV Mar 2014 | ROE Difference=11.81% | Category: Version Difference
BAJAJFINSV Mar 2015 | ROE Difference=10.00% | Category: Version Difference
BAJAJFINSV Mar 2016 | ROE Difference=8.69% | Category: Version Difference
